"Year";"FleetGasoline";"FleetEthanol";"FleetFlex";"FleetDiesel";"FleetHybrid";"FleetBEV";"ModeledFleet"
"2013";"12351764,4166492447";"1028408,78628589283";"20905246,2469990887";"8,35430520939850e+05";"8,68056076330030e+02";"7,85292989633219e+01";"35121796,5562493727"
"2014";"11664156,8388661873";"918675,00956758286";"23503244,1527790017";"9,07434558261410e+05";"1,71631770253552e+03";"1,38978421549451e+02";"36995365,8555982634"
"2015";"10943034,6918763313";"818955,18148022878";"25254189,7578964010";"9,84741557823112e+05";"2,55060547262992e+03";"1,99020738164020e+02";"38003670,8152868673"
"2016";"10188266,9874676317";"728623,08843881299";"26449190,9618044682";"1,06622626840012e+06";"3,62169964082539e+03";"3,29282160080786e+02";"38436258,2879119366"
"2017";"9449555,5775295570";"647062,02053841332";"27697979,2519881129";"1,15217524633591e+06";"6,88088897368249e+03";"4,63467694178142e+02";"38954116,4530598521"
"2018";"8756028,9943463057";"573619,94854321168";"29058926,1896464191";"1,24316456469238e+06";"1,07901681262417e+04";"6,35029987737553e+02";"39643164,8953422979"
"2019";"8090053,5651827548";"507692,19268843910";"30448708,9447427951";"1,34029618115149e+06";"2,25344048532459e+04";"1,16553183861057e+03";"40410450,8204573318"
"2020";"7447271,2991701858";"448658,47530841129";"31047177,0587889627";"1,44434700623917e+06";"4,20766102844557e+04";"1,95447760938146e+03";"40431484,9274005666"
"2021";"6838844,7498985333";"395943,13174755644";"31481469,0898859091";"1,55455657484094e+06";"7,38478921961230e+04";"4,79124124028084e+03";"40349452,6798093393"
"2022";"6266149,2322182907";"348954,79720006837";"31809335,8917862810";"1,67217778668484e+06";"1,14068344756501e+05";"1,31801066459638e+04";"40223866,1592919379"
"2023";"5732353,7732366910";"307184,05013621750";"32063185,6874664947";"1,79651318010881e+06";"1,98693907557460e+05";"2,96091607540423e+04";"40127539,7592597082"
"2024";"5236794,0386764528";"270127,40474238375";"32254559,3281056955";"1,92768335075989e+06";"3,31309388566956e+05";"5,47280282498558e+04";"40075201,5391012281"
"2025";"4778316,7850404577";"237314,27605518012";"32395712,2108457796";"2,06576208168547e+06";"5,15613196857821e+05";"8,92044978496637e+04";"40081923,0483343750"
"2026";"4355366,8520467253";"208308,08801118049";"32498931,7879177816";"2,21077454741090e+06";"7,55387701500762e+05";"1,33718224478888e+05";"40162487,2013662383"
"2027";"3966067,8517805235";"182706,57554584404";"32575942,7876286171";"2,36269842087353e+06";"1,05446892076147e+06";"1,88954764662910e+05";"40330839,3212528899"
"2028";"3608296,5035137772";"160141,38961592337";"32637426,0132965669";"2,52146741876609e+06";"1,41672013089242e+06";"2,55600877776602e+05";"40599652,3338613808"
"2029";"3279750,3481841059";"140277,13125928410";"32692665,2482163869";"2,68697651870660e+06";"1,84601372050430e+06";"3,34341831046062e+05";"40980024,7979167402"
"2030";"2978008,4550766391";"122809,94433098428";"32749324,7575274557";"2,85908794982029e+06";"2,34622441833915e+06";"4,25861119988353e+05";"41481316,6450828761"
"2031";"2700584,7337851310";"107465,78987457741";"32813348,5658977106";"3,03763711955707e+06";"2,92123529599859e+06";"5,30842656528329e+05";"42111114,1616414115"
"2032";"2444973,5762827192";"93998,51187502261";"32888963,8015363105";"3,22243786216591e+06";"3,57495618356290e+06";"6,49975169404921e+05";"42875305,1048277766"
"2033";"2208687,7456779936";"82187,78758199891";"32978765,0241426528";"3,41328670137353e+06";"4,31135272627378e+06";"7,83958355810141e+05";"43778238,3408600986"
"2034";"1989288,6598744655";"71837,03812042494";"33083854,7635342889";"3,60996611592139e+06";"5,13448345625844e+06";"9,33510231776125e+05";"44822940,2654851303"
"2035";"1784189,9159485986";"62771,35836492140";"33204016,8825475723";"3,81224700094442e+06";"6,04854197072619e+06";"1,09937513571251e+06";"46011142,2642442137"
"2036";"1598149,1721631195";"54835,51001723623";"33331205,5775654130";"4,01989059132185e+06";"7,05790148678587e+06";"1,28233191447012e+06";"47344314,2523236051"
"2037";"1429568,0242658306";"47892,00894609964";"33462552,9144423530";"4,23264907578725e+06";"8,16715951809636e+06";"1,48320193192848e+06";"48823023,4734663740"
"2038";"1276975,2713286944";"41819,32723056714";"33594389,9715485647";"4,45026786527750e+06";"9,38118102762609e+06";"1,70285665933986e+06";"50447490,1223512739"
"2039";"1139022,4607366945";"36510,22187635560";"33722402,5057701468";"4,67248669968627e+06";"1,07051390266426e+07";"1,94222471600422e+06";"52217785,6307162642"
"2040";"1014475,2958661297";"31870,19561951063";"33841763,8860673532";"4,89904038015513e+06";"1,21445521311440e+07";"2,20229831824218e+06";"54134000,2070942521"
"2041";"902202,6161293319";"27816,09031497811";"33947243,6311774477";"5,12965897961064e+06";"1,37053190135692e+07";"2,48413916070821e+06";"56196379,4915098473"
"2042";"801164,5906483354";"24274,80984649474";"34033291,6231547967";"5,36406741694018e+06";"1,53937499913380e+07";"2,78888379791808e+06";"58405432,2298459336"
"2043";"710401,4674569686";"21182,16702513390";"34094099,3353769779";"5,60198434878841e+06";"1,72165961856663e+07";"3,11774861892670e+06";"60762012,1232405230"
"2044";"629023,7819306905";"18481,84733412865";"34123640,2840587571";"5,84312040914257e+06";"1,91810767849026e+07";"3,47203451874599e+06";"63267377,6261147484"
"2045";"556204,4641653025";"16124,48142924235";"34115692,4317226335";"6,08717588809946e+06";"2,12949049796547e+07";"3,85313137060834e+06";"65923233,6156797335"
"2046";"491172,8880133511";"14066,81785308955";"34063845,4822019264";"6,33383797588222e+06";"2,35663131239282e+07";"4,26252239723359e+06";"68731758,6851123422"
"2047";"433210,6259780157";"12270,98733574285";"33961495,9636441469";"6,58277770538733e+06";"2,60040776353808e+07";"4,70178852972544e+06";"71695621,4474514723"
"2048";"381648,5242522556";"10703,85022731776";"33801832,7646120861";"6,83364671245364e+06";"2,86175440923450e+07";"5,17261283169892e+06";"74817988,7755891979"
"2049";"335864,6717295579";"9336,41895874852";"33577815,4386097714";"7,08607390656432e+06";"3,14166529251739e+07";"5,67678505513088e+06";"78102528,4161671251"
"2050";"295282,8728372593";"8143,34789153821";"33282147,1880623251";"7,33966211414182e+06";"3,44119660410677e+07";"6,21620638409692e+06";"81553407,9480975419"
